	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
165	367359742	::&gt;66:124094&gt;24:326590	0	2.5e-05	sortante
166	366180514	cafétéria	0	2.5e-05	sortante
167	366180533	::&gt;66:68439&gt;24:14416516	0	2.5e-05	sortante
168	366180886	lieu de restauration	0	2.5e-05	sortante
169	366180905	::&gt;66:68439&gt;24:14416521	0	2.5e-05	sortante
170	366504144	convive	0	2.5e-05	sortante
171	366504188	::&gt;66:40082&gt;24:14434194	0	2.5e-05	sortante
172	366504525	::&gt;66:40082&gt;24:327874	0	2.5e-05	sortante
173	366525125	convives	0	2.5e-05	sortante
174	366525146	salle à manger	0	2.5e-05	sortante
175	366525164	::&gt;66:237316&gt;24:14434911	0	2.5e-05	sortante
176	366525191	::&gt;66:237316&gt;24:14334681	0	2.5e-05	sortante
177	366530225	restaurant italien	0	2.5e-05	sortante
178	366530244	::&gt;66:68439&gt;24:14434995	0	2.5e-05	sortante
179	366530268	::&gt;66:68439&gt;24:14434993	0	2.5e-05	sortante
180	366530340	pizzaiolo	0	2.5e-05	sortante
181	366530359	::&gt;66:68439&gt;24:14435004	0	2.5e-05	sortante
182	366530383	::&gt;66:68439&gt;24:14435002	0	2.5e-05	sortante
183	366530424	viande de buf	0	2.5e-05	sortante
184	366530459	::&gt;66:68439&gt;24:14435011	0	2.5e-05	sortante
185	366530471	Hippopotamus	0	2.5e-05	sortante
186	366530490	::&gt;66:68439&gt;24:14435014	0	2.5e-05	sortante
187	366531015	choucroute	0	2.5e-05	sortante
188	366531055	::&gt;66:68439&gt;24:14435057	0	2.5e-05	sortante
189	366531079	::&gt;66:68439&gt;24:14435055	0	2.5e-05	sortante
190	366531267	bonbons Haribo	0	2.5e-05	sortante
191	366531302	::&gt;66:124094&gt;24:14435075	0	2.5e-05	sortante
192	366720262	hamburgers	0	2.5e-05	sortante
193	366720290	McDonald's	0	2.5e-05	sortante
194	366720310	::&gt;66:68439&gt;24:14450947	0	2.5e-05	sortante
195	366720372	::&gt;66:68439&gt;24:14450945	0	2.5e-05	sortante
196	367022130	::&gt;66:68439&gt;24:14465363	0	2.5e-05	sortante
197	367241907	nourriture chinoise	0	2.5e-05	sortante
198	367241931	restaurant chinois	0	2.5e-05	sortante
199	367241950	::&gt;66:68439&gt;24:14469849	0	2.5e-05	sortante
200	367241974	::&gt;66:68439&gt;24:14469847	0	2.5e-05	sortante
201	367242040	nids d'hirondelles	0	2.5e-05	sortante
202	367242078	::&gt;66:68439&gt;24:14469857	0	2.5e-05	sortante
203	367294157	zombie	0	2.5e-05	sortante
204	367294172	cerveau	0	2.5e-05	sortante
205	367294208	::&gt;66:75617&gt;24:14471183	0	2.5e-05	sortante
206	368010028	pavé	0	2.5e-05	sortante
207	368010063	::&gt;66:225916&gt;24:14483215	0	2.5e-05	sortante
208	368117803	steakhouse burger	0	2.5e-05	sortante
209	368117827	Burger King	0	2.5e-05	sortante
210	368117845	::&gt;66:225916&gt;24:14485860	0	2.5e-05	sortante
211	368117869	::&gt;66:225916&gt;24:14485858	0	2.5e-05	sortante
212	368118080	adolescent	0	2.5e-05	sortante
